,pH_H2O,EC,P,N,K,Elev,OC,OC_log
count,13945.0,13945.0,13945.0,13945.0,13945.0,13945.0,13945.0,13945.0
mean,6.1899956973825745,19.21591107923987,34.725148798852636,3.4790211545356757,215.41719971315882,577.6335604159196,53.47430620294012,3.3493573342718435
std,1.302027342564164,21.98642245398272,27.548201263963175,4.140656367113001,217.10039391047528,1493.330551704246,91.92128743682942,0.9914365286767816
min,3.34,0.24,0.3,0.2,6.2,-55.0,2.1,1.1314021114911006
25%,5.08,8.96,16.6,1.4,93.7,111.0,13.3,2.660259537265861
50%,6.23,14.67,26.5,2.1,163.2,224.0,21.8,3.126760535960395
75%,7.36,21.8,44.0,3.7,273.8,541.0,45.2,3.832979798087693
max,10.43,526.54,515.0,46.5,7578.8,11464.0,723.9,6.586033714306832
