,Kurtosis
pH_H2O,-1.1578778494309092
EC,79.81155707876293
P,25.244999932228172
N,14.70227979765037
K,207.86559984411969
Elev,35.747220176042816
OC,12.172431698278668
OC_log,0.7903349796886849
